hgncid,uniprot_id,protein_names,targetclass,go_function
EAF1,Q96JC9,ELL-associated factor 1,Other,"""NA"""
RAD23A,P54725,UV excision repair protein RAD23 homolog A (HR23A) (hHR23A),Other,protease binding; single-stranded DNA binding; kinase binding; polyubiquitin modification-dependent protein binding; modification-dependent protein binding; ubiquitin-specific protease binding
SLC8A1,P32418,Sodium/calcium exchanger 1 (na(+)/Ca(2+)-exchange protein 1) (Solute carrier family 8 member 1),Transporter,calcium:sodium antiporter activity; cytoskeletal protein binding; cation transmembrane transporter activity; monovalent inorganic cation transmembrane transporter activity; sodium ion transmembrane transporter activity; calcium ion transmembrane transporter activity; secondary active transmembrane transporter activity; antiporter activity; solute:cation antiporter activity; calcium:cation antiporter activity; cation:cation antiporter activity; active transmembrane transporter activity; inorganic cation transmembrane transporter activity; ankyrin binding; metal ion transmembrane transporter activity; ion antiporter activity
TTC9B,Q8N6N2,Tetratricopeptide repeat protein 9B (TPR repeat protein 9B),Other,"""NA"""
AMY1C,P04745,"Alpha-amylase 1 (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 1) (Salivary alpha-amylase)",Enzyme_all_others,NA
CYP2J2,P51589,Cytochrome P450 2J2 (EC 1.14.14.1) (Arachidonic acid epoxygenase) (CYPIIJ2),Enzyme_all_others,"monooxygenase activity; arachidonic acid monooxygenase activity; arachidonic acid epoxygenase activity; arachidonic acid 14,15-epoxygenase activity; arachidonic acid 11,12-epoxygenase activity; oxidoreductase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; linoleic acid epoxygenase activity"
FZD5,Q13467,Frizzled-5 (Fz-5) (hFz5) (FzE5),7TM_all_others,amyloid-beta binding; transmembrane signaling receptor activity; Wnt-protein binding; kinase binding; protein kinase binding; ubiquitin protein ligase binding; amide binding; peptide binding; Wnt-activated receptor activity; ubiquitin-like protein ligase binding
PHF10,Q8WUB8,PHD finger protein 10 (BRG1-associated factor 45a) (BAF45a) (XAP135),Transcriptional_Factor_all_others,NA
KRTAP4-9,Q9BYQ8,Keratin-associated protein 4-9 (Keratin-associated protein 4.9) (Ultrahigh sulfur keratin-associated protein 4.9),Other,"""NA"""
CTPS2,Q9NRF8,CTP synthase 2 (EC 6.3.4.2) (CTP synthetase 2) (UTP--ammonia ligase 2),Enzyme_all_others,"CTP synthase activity; ligase activity; ligase activity, forming carbon-nitrogen bonds"
RBMXL1,Q96E39,"Rna binding motif protein, X-linked-like-1 (Heterogeneous nuclear ribonucleoprotein G-like 1)",Transcriptional_Factor_all_others,"""NA"""
NADK2,Q4G0N4,"naD kinase 2, mitochondrial (EC 2.7.1.23) (Mitochondrial naD kinase) (naD kinase domain-containing protein 1, mitochondrial)",Enzyme_all_others,NAD+ kinase activity
CCDC191,Q8NCU4,Coiled-coil domain-containing protein 191,Other,"""NA"""
FECH,P22830,"Ferrochelatase, mitochondrial (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)",Other,ferrochelatase activity; iron ion binding; ferrous iron binding; lyase activity; metal ion binding; transition metal ion binding
PCLO,Q9Y6V0,Protein piccolo (Aczonin),Transcriptional_Factor_all_others,"""NA"""
PPP2R2C,Q9Y2T4,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B gamma isoform (IMYPNO1) (PP2A subunit B isoform B55-gamma) (PP2A subunit B isoform PR55-gamma) (PP2A subunit B isoform R2-gamma) (PP2A subunit B isoform gamma),Other,NA
RNF4,P78317,E3 ubiquitin-protein ligase RNF4 (EC 2.3.2.27) (RING finger protein 4) (RING-type E3 ubiquitin transferase RNF4) (Small nuclear ring finger protein) (Protein SNURF),Transcriptional_Factor_all_others,ubiquitin-protein transferase activity; zinc ion binding; ubiquitin-like protein transferase activity; metal ion binding; transition metal ion binding; ubiquitin protein ligase activity; ubiquitin-like protein ligase activity
B3GALT5,Q9Y2C3,"Beta-1,3-galactosyltransferase 5 (Beta-1,3-GalTase 5) (Beta3Gal-T5) (Beta3GalT5) (b3Gal-T5) (EC 2.4.1.-) (Beta-3-Gx-T5) (UDP-Gal:beta-Glcnac beta-1,3-galactosyltransferase 5) (UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 5)",Enzyme_Transferase,NA
UACA,Q9BZF9,Uveal autoantigen with coiled-coil domains and ankyrin repeats,Other,NA
ZSWIM8,A7E2V4,Zinc finger SWIM domain-containing protein 8,Transcriptional_Factor_all_others,"""NA"""
C19orf70,Q5XKP0,MICOS complex subunit MIC13 (Protein P117),Other,NA
RUNDC1,Q96C34,RUN domain-containing protein 1,Other,NA
CCDC28B,Q9BUN5,Coiled-coil domain-containing protein 28B,Other,NA
BOK,Q9UMX3,Bcl-2-related ovarian killer protein (hBOK) (Bcl-2-like protein 9) (Bcl2-L-9),Other,NA
RASSF7,Q02833,Ras association domain-containing protein 7 (HRAS1-related cluster protein 1),Other,"""NA"""
PILRA,Q9UKJ1,Paired immunoglobulin-like type 2 receptor alpha (Cell surface receptor FDF03) (Inhibitory receptor PILR-alpha),Receptor_all_others,NA
OR4A15,Q8NGL6,Olfactory receptor 4A15 (Olfactory receptor OR11-118),7TM_all_others,NA
ALDH18A1,P54886,Delta-1-pyrroline-5-carboxylate synthase (P5CS) (Aldehyde dehydrogenase family 18 member A1) [Includes: Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)],Enzyme_all_others,"glutamate 5-kinase activity; glutamate-5-semialdehyde dehydrogenase activity; oxidoreductase activity; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; phosphotransferase activity, carboxyl group as acceptor; oxidoreductase activity, acting on the aldehyde or oxo group of donors; delta1-pyrroline-5-carboxylate synthetase activity; amino acid kinase activity"
EMSY,Q7Z589,BRCA2-interacting transcriptional repressor EMSY,Other,"""NA"""
ZNF599,Q96NL3,Zinc finger protein 599,Transcriptional_Factor_all_others,"""NA"""
ABCA13,Q86UQ4,ATP-binding cassette sub-family A member 13,Transporter,"""NA"""
MANSC4,A6NHS7,MANSC domain-containing protein 4,Other,NA
HEPHL1,Q6MZM0,Hephaestin-like protein 1 (EC 1.-.-.-),Enzyme_all_others,"ferroxidase activity; oxidoreductase activity; oxidoreductase activity, oxidizing metal ions; oxidoreductase activity, oxidizing metal ions, oxygen as acceptor"
PITRM1,Q5JRX3,"Presequence protease, mitochondrial (hPreP) (EC 3.4.24.-) (Pitrilysin metalloproteinase 1) (Metalloprotease 1) (hMP1)",Protease,"endopeptidase activity; metalloendopeptidase activity; enzyme activator activity; peptidase activity; metallopeptidase activity; zinc ion binding; enzyme regulator activity; metal ion binding; transition metal ion binding; peptidase activity, acting on L-amino acid peptides"
MAGEH1,Q9H213,Melanoma-associated antigen H1 (Apoptosis-related protein 1) (APR-1) (MAGE-H1 antigen) (Restin),Other,NA
DCTN2,Q13561,Dynactin subunit 2 (50 kDa dynein-associated polypeptide) (Dynactin complex 50 kDa subunit) (DCTN-50) (p50 dynamitin),Other,cytoskeletal protein binding; kinase binding; protein kinase binding; spectrin binding
LUC7L2,Q9Y383,Putative Rna-binding protein Luc7-like 2,Transcriptional_Factor_all_others,NA
DZIP1,Q86YF9,Zinc finger protein DZIP1 (DAZ-interacting protein 1/2),Transcriptional_Factor_all_others,"""NA"""
SEZ6,Q53EL9,Seizure protein 6 homolog (SEZ-6) (hSEZ-6),Other,"""NA"""
FAM53A,Q6NSI3,Protein FAM53A (Dorsal neural-tube nuclear protein),Other,"""NA"""
ACOT1,Q86TX2,Acyl-coenzyme A thioesterase 1 (Acyl-CoA thioesterase 1) (EC 3.1.2.2) (CTE-I) (CTE-Ib) (Inducible cytosolic acyl-coenzyme A thioester hydrolase) (Long chain acyl-CoA thioester hydrolase) (Long chain acyl-CoA hydrolase),Enzyme_Esterase,"CoA hydrolase activity; hydrolase activity, acting on ester bonds; thiolester hydrolase activity; acyl-CoA hydrolase activity"
PKDREJ,Q9NTG1,Polycystic kidney disease and receptor for egg jelly-related protein (PKD and REJ homolog),Other,NA
ZNF438,Q7Z4V0,Zinc finger protein 438,Transcriptional_Factor_all_others,"""NA"""
KIR2DL1,P43626,Killer cell immunoglobulin-like receptor 2DL1 (CD158 antigen-like family member A) (MHC class I NK cell receptor) (natural killer-associated transcript 1) (NKAT-1) (p58 natural killer cell receptor clones CL-42/47.11) (p58 NK receptor CL-42/47.11) (p58.1 MHC class-I-specific NK receptor) (CD antigen CD158a),Receptor_all_others,"""NA"""
WRB,O00258,Tail-anchored protein insertion receptor WRB (Congenital heart disease 5 protein) (Tryptophan-rich basic protein) (WRB),Other,NA
APMAP,Q9HDC9,Adipocyte plasma membrane-associated protein (Protein BSCv),Other,"arylesterase activity; hydrolase activity, acting on ester bonds; carboxylic ester hydrolase activity"
TSPAN3,O60637,Tetraspanin-3 (Tspan-3) (Tetraspanin TM4-A) (Transmembrane 4 superfamily member 8),Receptor_all_others,"""NA"""
ACTR2,P61160,Actin-related protein 2 (Actin-like protein 2),Other,actin binding; structural molecule activity; structural constituent of cytoskeleton; cytoskeletal protein binding; actin filament binding
GCLM,P48507,Glutamate--cysteine ligase regulatory subunit (GCS light chain) (Gamma-ECS regulatory subunit) (Gamma-glutamylcysteine synthetase regulatory subunit) (Glutamate--cysteine ligase modifier subunit),Other,"glutamate-cysteine ligase activity; ligase activity; ligase activity, forming carbon-nitrogen bonds; acid-amino acid ligase activity; glutamate-cysteine ligase catalytic subunit binding"
CDC42BPB,Q9Y5S2,Serine/threonine-protein kinase MRCK beta (EC 2.7.11.1) (CDC42-binding protein kinase beta) (CDC42BP-beta) (DMPK-like beta) (Myotonic dystrophy kinase-related CDC42-binding kinase beta) (MRCK beta) (Myotonic dystrophy protein kinase-like beta),Kinase_Protein,protein kinase activity
PXMP4,Q9Y6I8,Peroxisomal membrane protein 4 (24 kDa peroxisomal intrinsic membrane protein),Other,"""NA"""
ATR,Q13535,Serine/threonine-protein kinase ATR (EC 2.7.11.1) (Ataxia telangiectasia and Rad3-related protein) (FRAP-related protein 1),Kinase_Protein,protein kinase activity; protein serine/threonine kinase activity; mismatch repair complex binding; MutLalpha complex binding; MutSalpha complex binding
NARF,Q9UHQ1,Nuclear prelamin A recognition factor (Iron-only hydrogenase-like protein 2) (IOP2),Other,lamin binding
NXPE4,Q6UWF7,NXPE family member 4 (Protein FAM55D),Extracellular_all_others,NA
RAB7A,P51149,Ras-related protein Rab-7a,Other,"nucleotide binding; nucleoside binding; purine nucleoside binding; GTPase activity; GTP binding; pyrophosphatase activity; hydrolase activity, acting on acid anhydrides; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; purine nucleotide binding; nucleoside-triphosphatase activity; guanyl nucleotide binding; GDP binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; guanyl ribonucleotide binding; purine ribonucleoside triphosphate binding; carbohydrate derivative binding; nucleoside phosphate binding"
KCNJ13,O60928,"Inward rectifier potassium channel 13 (Inward rectifier K(+) channel Kir7.1) (Potassium channel, inwardly rectifying subfamily J member 13)",Ion Channel,NA
FABP2,P12104,"Fatty acid-binding protein, intestinal (Fatty acid-binding protein 2) (Intestinal-type fatty acid-binding protein) (I-FABP)",Transporter,fatty acid binding; lipid binding; carboxylic acid binding; monocarboxylic acid binding; long-chain fatty acid binding; organic acid binding
KCNA4,P22459,Potassium voltage-gated channel subfamily A member 4 (HPCN2) (Voltage-gated K(+) channel HuKII) (Voltage-gated potassium channel HBK4) (Voltage-gated potassium channel HK1) (Voltage-gated potassium channel subunit Kv1.4),Ion Channel,ion channel activity; voltage-gated ion channel activity; voltage-gated potassium channel activity; cation channel activity; potassium channel activity; cation transmembrane transporter activity; monovalent inorganic cation transmembrane transporter activity; potassium ion transmembrane transporter activity; channel activity; passive transmembrane transporter activity; voltage-gated channel activity; gated channel activity; substrate-specific channel activity; ion gated channel activity; voltage-gated cation channel activity; inorganic cation transmembrane transporter activity; metal ion transmembrane transporter activity
PKMYT1,Q99640,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase (EC 2.7.11.1) (Myt1 kinase),Kinase_Protein,NA
NTM,Q9P121,Neurotrimin (hNT) (IgLON family member 2),Receptor_all_others,"""NA"""
GSE1,Q14687,Genetic suppressor element 1,Other,"""NA"""
UTP6,Q9NYH9,U3 small nucleolar Rna-associated protein 6 homolog (Hepatocellular carcinoma-associated antigen 66) (Multiple hat domains protein),Other,NA
TMEM200A,Q86VY9,Transmembrane protein 200A,Other,"""NA"""
GPR141,Q7Z602,Probable G-protein coupled receptor 141 (G-protein coupled receptor PGR13),7TM_Group1,NA
ZFAND4,Q86XD8,AN1-type zinc finger protein 4 (AN1-type zinc finger and ubiquitin domain-containing protein-like 1),Transcriptional_Factor_all_others,NA
PLEK,P08567,Pleckstrin (Platelet 47 kDa protein) (p47),Other,"protein kinase C binding; phospholipid binding; lipid binding; kinase binding; protein kinase binding; phosphatidylinositol binding; phosphatidylinositol-3,4-bisphosphate binding; phosphatidylinositol phosphate binding; phosphatidylinositol bisphosphate binding"
ZNF540,Q8NDQ6,Zinc finger protein 540,Transcriptional_Factor_all_others,"""NA"""
SKI,P12755,Ski oncogene (Proto-oncogene c-Ski),Transcriptional_Factor_all_others,transcription coregulator activity; transcription corepressor activity; transcription factor binding; zinc ion binding; kinase binding; protein kinase binding; protein domain specific binding; ubiquitin protein ligase binding; ubiquitin-like protein ligase binding; SMAD binding; metal ion binding; transition metal ion binding; repressing transcription factor binding
ZNF318,Q5VUA4,Zinc finger protein 318 (Endocrine regulatory protein),Transcriptional_Factor_all_others,"""NA"""
ZNF408,Q9H9D4,Zinc finger protein 408 (PR domain zinc finger protein 17),Transcriptional_Factor_all_others,"""NA"""
CD300LG,Q6UXG3,CMRF35-like molecule 9 (CLM-9) (CD300 antigen-like family member G) (Triggering receptor expressed on myeloid cells 4) (TREM-4) (CD antigen CD300g),Receptor_all_others,NA
COL21A1,Q96P44,Collagen alpha-1(XXI) chain,Extracellular_all_others,NA
GPR173,Q9NS66,Probable G-protein coupled receptor 173 (Super conserved receptor expressed in brain 3),7TM_Group1,transmembrane signaling receptor activity; G protein-coupled receptor activity
C9orf40,Q8IXQ3,Uncharacterized protein C9orf40,Other,NA
AVPI1,Q5T686,Arginine vasopressin-induced protein 1 (AVP-induced protein 1),Other,"""NA"""
NFAM1,Q8NET5,NFAT activation molecule 1 (Calcineurin/NFAT-activating ITAM-containing protein) (NFAT-activating protein with ITAM motif 1),Other,transmembrane signaling receptor activity
ZNF738,Q8NE65,Protein ZNF738,Transcriptional_Factor_all_others,NA
CEP72,Q9P209,Centrosomal protein of 72 kDa (Cep72),Other,NA
ZFP90,Q8TF47,Zinc finger protein 90 homolog (Zfp-90) (Zinc finger protein 756),Transcriptional_Factor_all_others,"""NA"""
C18orf54,Q8IYD9,Lung adenoma susceptibility protein 2,Extracellular_all_others,NA
TBC1D30,Q9Y2I9,TBC1 domain family member 30,Other,GTPase activator activity; enzyme activator activity; Ras GTPase binding; Rab GTPase binding; enzyme regulator activity; GTPase regulator activity; small GTPase binding; GTPase binding; nucleoside-triphosphatase regulator activity
ZBTB45,Q96K62,Zinc finger and BTB domain-containing protein 45 (Zinc finger protein 499),Transcriptional_Factor_all_others,NA
HTR3B,O95264,5-hydroxytryptamine receptor 3B (5-HT3-B) (5-HT3B) (Serotonin receptor 3B),Ion Channel,"""NA"""
CYP20A1,Q6UW02,Cytochrome P450 20A1 (EC 1.14.-.-),Enzyme_all_others,NA
TULP4,Q9NRJ4,Tubby-related protein 4 (Tubby superfamily protein) (Tubby-like protein 4),Transcriptional_Factor_all_others,NA
TRIM31,Q9BZY9,E3 ubiquitin-protein ligase TRIM31 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM31) (Tripartite motif-containing protein 31),Transcriptional_Factor_all_others,"""NA"""
CALHM5,Q8N5C1,Calcium homeostasis modulator protein 5 (Protein FAM26E),Other,"""NA"""
APOA2,P02652,Apolipoprotein A-II (Apo-AII) (ApoA-II) (Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-II (ProapoA-II); Truncated apolipoprotein A-II (Apolipoprotein A-II(1-76))],Extracellular_all_others,enzyme inhibitor activity; lipid transporter activity; steroid binding; phospholipid binding; enzyme activator activity; lipid binding; sterol transporter activity; cholesterol binding; cholesterol transporter activity; enzyme regulator activity; heat shock protein binding; phosphatidylcholine binding; sterol binding; apolipoprotein receptor binding; alcohol binding; protein heterodimerization activity; quaternary ammonium group binding; lipase inhibitor activity; phosphatidylcholine-sterol O-acyltransferase activator activity; lipoprotein particle receptor binding; ammonium ion binding; high-density lipoprotein particle receptor binding
SUSD3,Q96L08,Sushi domain-containing protein 3,Other,NA
CPA4,Q9UI42,Carboxypeptidase A4 (EC 3.4.17.-) (Carboxypeptidase A3),Protease,NA
IQSEC2,Q5JU85,IQ motif and SEC7 domain-containing protein 2,Other,NA
RPS5,P46782,"40S ribosomal protein S5 (Small ribosomal subunit protein uS7) [Cleaved into: 40S ribosomal protein S5, N-terminally processed]",Other,mRNA binding
PTK6,Q13882,Protein-tyrosine kinase 6 (EC 2.7.10.2) (Breast tumor kinase) (Tyrosine-protein kinase BRK),Kinase_Protein,protein kinase activity; protein tyrosine kinase activity; non-membrane spanning protein tyrosine kinase activity
AFF4,Q9UHB7,AF4/FMR2 family member 4 (ALL1-fused gene from chromosome 5q31 protein) (Protein AF-5q31) (Major CDK9 elongation factor-associated protein),Transcriptional_Factor_all_others,NA
HAMP,P81172,Hepcidin (Liver-expressed antimicrobial peptide 1) (LEAP-1) (Putative liver tumor regressor) (PLTR) [Cleaved into: Hepcidin-25 (Hepc25); Hepcidin-20 (Hepc20)],Extracellular_all_others,NA
TLE4,Q04727,Transducin-like enhancer protein 4 (Grg-4) (Groucho-related protein 4),Transcriptional_Factor_all_others,NA
HP1BP3,Q5SSJ5,Heterochromatin protein 1-binding protein 3 (Protein HP1-BP74),Transcriptional_Factor_all_others,chromatin binding; nucleosome binding
RCN2,Q14257,Reticulocalbin-2 (Calcium-binding protein ERC-55) (E6-binding protein) (E6BP),Other,"""NA"""
TMEM158,Q8WZ71,Transmembrane protein 158 (40 kDa BINP-binding protein) (p40BBP) (Ras-induced senescence protein 1),Other,"""NA"""
STK33,Q9BYT3,Serine/threonine-protein kinase 33 (EC 2.7.11.1),Kinase_Protein,"""NA"""
TFG,Q92734,Protein TFG (TRK-fused gene protein),Other,NA
SEC14L4,Q9UDX3,SEC14-like protein 4 (Tocopherol-associated protein 3),Other,NA
LHCGR,P22888,Lutropin-choriogonadotropic hormone receptor (LH/CG-R) (Luteinizing hormone receptor) (LHR) (LSH-R),7TM_Group1,"""NA"""
MC4R,P32245,Melanocortin receptor 4 (MC4-R),7TM_Group1,peptide receptor activity; transmembrane signaling receptor activity; G protein-coupled receptor activity; melanocortin receptor activity; melanocyte-stimulating hormone receptor activity; G protein-coupled peptide receptor activity; ubiquitin protein ligase binding; ubiquitin-like protein ligase binding
LMX1A,Q8TE12,LIM homeobox transcription factor 1-alpha (LIM/homeobox protein 1.1) (LMX-1.1) (LIM/homeobox protein LMX1A),Transcriptional_Factor_all_others,"""NA"""
NPPA,P01160,natriuretic peptides A (CDD-ANF) (Cardiodilatin) (CDD) (Cardiodilatin-related peptide) (CDP) (Prepronatriodilatin) [Cleaved into: Atrial natriuretic factor (ANF) (Atrial natriuretic peptide) (ANP)],Extracellular Ligand,hormone receptor binding
MPV17L,Q2QL34,Mpv17-like protein (M-LP homolog) (M-LPH),Other,NA
PROK2,Q9HC23,Prokineticin-2 (PK2) (Protein Bv8 homolog),Extracellular Ligand,G protein-coupled receptor binding
KCNJ11,Q14654,"ATP-sensitive inward rectifier potassium channel 11 (IKATP) (Inward rectifier K(+) channel Kir6.2) (Potassium channel, inwardly rectifying subfamily J member 11)",Ion Channel,nucleotide binding; ion channel activity; voltage-gated ion channel activity; voltage-gated potassium channel activity; cation channel activity; potassium channel activity; ATP binding; cytoskeletal protein binding; drug binding; cation transmembrane transporter activity; monovalent inorganic cation transmembrane transporter activity; potassium ion transmembrane transporter activity; channel activity; purine nucleotide binding; passive transmembrane transporter activity; voltage-gated channel activity; gated channel activity; substrate-specific channel activity; ion gated channel activity; voltage-gated cation channel activity; inorganic cation transmembrane transporter activity; ankyrin binding; adenyl nucleotide binding; potassium ion binding; alkali metal ion binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; purine ribonucleoside triphosphate binding; ion channel binding; metal ion binding; metal ion transmembrane transporter activity; carbohydrate derivative binding; nucleoside phosphate binding
RTN1,Q16799,Reticulon-1 (Neuroendocrine-specific protein),Other,NA
ATRAID,Q6UW56,All-trans retinoic acid-induced differentiation factor (Apoptosis-related protein 3) (APR-3) (p18),Other,NA
TDRKH,Q9Y2W6,Tudor and KH domain-containing protein (Tudor domain-containing protein 2),Other,"""NA"""
FTSJ3,Q8IY81,pre-rRna processing protein FTSJ3 (EC 2.1.1.-) (2'-O-ribose Rna methyltransferase SPB1 homolog) (Protein ftsJ homolog 3) (Putative rRna methyltransferase 3),Other,NA
BCAR3,O75815,Breast cancer anti-estrogen resistance protein 3 (Novel SH2-containing protein 2) (SH2 domain-containing protein 3B),Other,"""NA"""
SETD2,Q9BYW2,Histone-lysine N-methyltransferase SETD2 (EC 2.1.1.43) (HIF-1) (Huntingtin yeast partner B) (Huntingtin-interacting protein 1) (HIP-1) (Huntingtin-interacting protein B) (Lysine N-methyltransferase 3A) (Protein-lysine N-methyltransferase SETD2) (EC 2.1.1.-) (SET domain-containing protein 2) (hSET2) (p231HBP),Other,"cytoskeletal protein binding; methyltransferase activity; N-methyltransferase activity; protein methyltransferase activity; S-adenosylmethionine-dependent methyltransferase activity; tubulin binding; lysine N-methyltransferase activity; protein-lysine N-methyltransferase activity; transferase activity, transferring one-carbon groups; histone-lysine N-methyltransferase activity; histone methyltransferase activity; alpha-tubulin binding; histone methyltransferase activity (H3-K36 specific)"
PCDHGA2,Q9Y5H1,Protocadherin gamma-A2 (PCDH-gamma-A2),Receptor_all_others,"""NA"""
OCEL1,Q9H607,Occludin/ELL domain-containing protein 1,Other,"""NA"""
MALT1,Q9UDY8,Mucosa-associated lymphoid tissue lymphoma translocation protein 1 (EC 3.4.22.-) (MALT lymphoma-associated translocation) (Paracaspase),Protease,ubiquitin-protein transferase activity; peptidase activity; ubiquitin-like protein transferase activity; protein self-association
SERPINI2,O75830,Serpin I2 (Myoepithelium-derived serine protease inhibitor) (Pancpin) (Pancreas-specific protein TSA2004) (Peptidase inhibitor 14) (PI-14),Extracellular_all_others,NA
SNAI1,O95863,Zinc finger protein SnaI1 (Protein snail homolog 1) (Protein sna),Transcriptional_Factor_all_others,"transcription regulatory region sequence-specific DNA binding; RNA polymerase II regulatory region sequence-specific DNA binding; RNA polymerase II proximal promoter sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; proximal promoter sequence-specific DNA binding; RNA polymerase II regulatory region DNA binding; regulatory region nucleic acid binding; DNA-binding transcription repressor activity, RNA polymerase II-specific; double-stranded DNA binding; kinase binding; transcription regulatory region DNA binding; E-box binding; sequence-specific double-stranded DNA binding"
UBE2F-SCLY,NA,NA,NA,NA
KMT5A,Q9NQR1,N-lysine methyltransferase KMT5A (EC 2.1.1.-) (H4-K20-HMTase KMT5A) (Histone-lysine N-methyltransferase KMT5A) (EC 2.1.1.43) (Lysine N-methyltransferase 5A) (Lysine-specific methylase 5A) (PR/SET domain-containing protein 07) (PR-Set7) (PR/SET07) (SET domain-containing protein 8),Enzyme_Transferase,"p53 binding; transcription coregulator activity; transcription corepressor activity; methyltransferase activity; N-methyltransferase activity; protein methyltransferase activity; S-adenosylmethionine-dependent methyltransferase activity; lysine N-methyltransferase activity; protein-lysine N-methyltransferase activity; transferase activity, transferring one-carbon groups; histone-lysine N-methyltransferase activity; histone methyltransferase activity; histone methyltransferase activity (H4-K20 specific)"
NIN,Q8N4C6,Ninein (hNinein) (Glycogen synthase kinase 3 beta-interacting protein) (GSK3B-interacting protein),Other,"""NA"""
IFNA5,P01569,Interferon alpha-5 (IFN-alpha-5) (Interferon alpha-61) (Interferon alpha-G) (LeIF G),Extracellular Ligand,cytokine receptor binding
SERPINH1,P50454,Serpin H1 (47 kDa heat shock protein) (Arsenic-transactivated protein 3) (AsTP3) (Cell proliferation-inducing gene 14 protein) (Collagen-binding protein) (Colligin) (Rheumatoid arthritis-related antigen RA-A47),Other,NA
GTPBP3,Q969Y2,"tRna modification GTPase GTPBP3, mitochondrial (GTP-binding protein 3) (Mitochondrial GTP-binding protein 1)",Other,NA
CRELD1,Q96HD1,Cysteine-rich with EGF-like domain protein 1,Other,NA
DTX2,Q86UW9,Probable E3 ubiquitin-protein ligase DTX2 (EC 2.3.2.27) (Protein deltex-2) (Deltex2) (hDTX2) (RING finger protein 58) (RING-type E3 ubiquitin transferase DTX2),Enzyme_all_others,"""NA"""
STAT5B,P51692,Signal transducer and activator of transcription 5B,Transcriptional_Factor_all_others,protein kinase activity; protein tyrosine kinase activity; transcription factor binding; nuclear hormone receptor binding; steroid hormone receptor binding; glucocorticoid receptor binding; hormone receptor binding
IL17RB,Q9NRM6,Interleukin-17 receptor B (IL-17 receptor B) (IL-17RB) (Cytokine receptor-like 4) (IL-17 receptor homolog 1) (IL-17Rh1) (IL17Rh1) (Interleukin-17B receptor) (IL-17B receptor),Receptor_all_others,"""NA"""
DIP2A,Q14689,Disco-interacting protein 2 homolog A (DIP2 homolog A),Enzyme_all_others,"""NA"""
NDST4,Q9H3R1,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 4 (EC 2.8.2.8) (Glucosaminyl N-deacetylase/N-sulfotransferase 4) (NDST-4) (N-heparan sulfate sulfotransferase 4) (N-HSST 4) [Includes: Heparan sulfate N-deacetylase 4 (EC 3.-.-.-); Heparan sulfate N-sulfotransferase 4 (EC 2.8.2.-)],Enzyme_Transferase,NA
LRRC59,Q96AG4,"Leucine-rich repeat-containing protein 59 (Ribosome-binding protein p34) (p34) [Cleaved into: Leucine-rich repeat-containing protein 59, N-terminally processed]",Other,"""NA"""
MTHFR,P42898,Methylenetetrahydrofolate reductase (EC 1.5.1.20),Enzyme_all_others,"nucleotide binding; methylenetetrahydrofolate reductase (NAD(P)H) activity; oxidoreductase activity; oxidoreductase activity, acting on the CH-NH group of donors; oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor; cofactor binding; flavin adenine dinucleotide binding; coenzyme binding; modified amino acid binding; nucleoside phosphate binding"
NPEPL1,Q8NDH3,Probable aminopeptidase NPEPL1 (EC 3.4.11.-) (Aminopeptidase-like 1),Protease,NA
CAMSAP1,Q5T5Y3,Calmodulin-regulated spectrin-associated protein 1,Other,microtubule binding; cytoskeletal protein binding; tubulin binding; spectrin binding; microtubule minus-end binding
PRC1,O43663,Protein regulator of cytokinesis 1,Other,cytoskeletal protein binding; kinesin binding; kinase binding; protein kinase binding
FAM72B,Q86X60,Protein FAM72B,Other,NA
DOP1A,Q5JWR5,Protein dopey-1,Other,NA
